MIME type,compressed,Go compression package
application/vnd.lotus-1-2-3,FALSE,
text/vnd.in3d.3dml,FALSE,
video/3gpp2,FALSE,
image/avif,FALSE,
image/avif-sequence,FALSE,
application/x-krita,FALSE,
image/heic,FALSE,
video/3gpp,FALSE,
audio/3gpp2,FALSE,
application/x-7z-compressed,FALSE,
application/octet-stream,FALSE,
application/x-authorware-bin,FALSE,
image/x-icns,FALSE,
audio/mp4,FALSE,
audio/aac,FALSE,
audio/mp4a-latm,FALSE,
audio/aacp,FALSE,
application/x-authorware-map,FALSE,
application/x-authorware-seg,FALSE,
application/x-abiword,TRUE,compress/gzip
application/vnd.americandynamics.acc,FALSE,
application/x-ace-compressed,FALSE,
application/vnd.acucobol,FALSE,
application/vnd.acucorp,FALSE,
audio/adpcm,FALSE,
application/vnd.audiograph,FALSE,
application/x-font-type1,FALSE,
application/vnd.ibm.modcap,FALSE,
application/postscript,FALSE,
application/vnd.adobe.air-application-installer-package+zip,FALSE,
application/vnd.amiga.ami,FALSE,
application/vnd.android.package-archive,TRUE,archive/zip
application/x-ms-application,FALSE,
application/vnd.lotus-approach,FALSE,
application/pgp-signature,FALSE,
video/x-ms-asf,FALSE,
text/x-asm,FALSE,
application/vnd.accpac.simply.aso,FALSE,
application/atom+xml,FALSE,
application/atomcat+xml,FALSE,
application/atomsvc+xml,FALSE,
application/vnd.antix.game-component,FALSE,
audio/basic,FALSE,
video/x-msvideo,FALSE,
application/applixware,FALSE,
application/vnd.airzip.filesecure.azf,FALSE,
application/vnd.airzip.filesecure.azs,FALSE,
application/vnd.amazon.ebook,FALSE,
application/x-msdownload,FALSE,
application/x-bcpio,FALSE,
application/x-font-bdf,FALSE,
application/vnd.syncml.dm+wbxml,FALSE,
application/vnd.fujitsu.oasysprs,FALSE,
application/vnd.bmi,FALSE,
image/bmp,FALSE,
application/vnd.framemaker,FALSE,
application/vnd.previewsystems.box,FALSE,
application/x-bzip2,TRUE,compress/bzip2
image/prs.btif,FALSE,
application/x-bzip,TRUE,compress/bzip2
text/x-c,FALSE,
application/vnd.clonk.c4group,FALSE,
application/vnd.ms-cab-compressed,FALSE,
application/vnd.curl.car,FALSE,
application/vnd.ms-pki.seccat,FALSE,
application/x-director,FALSE,
application/ccxml+xml,FALSE,
application/vnd.contact.cmsg,FALSE,
application/x-netcdf,FALSE,
application/vnd.mediastation.cdkey,FALSE,
chemical/x-cdx,FALSE,
application/vnd.chemdraw+xml,FALSE,
application/vnd.cinderella,FALSE,
application/pkix-cert,FALSE,
image/cgm,FALSE,
application/x-chat,FALSE,
application/vnd.ms-htmlhelp,FALSE,
application/vnd.kde.kchart,FALSE,
chemical/x-cif,FALSE,
application/vnd.anser-web-certificate-issue-initiation,FALSE,
application/vnd.ms-artgalry,FALSE,
application/vnd.claymore,FALSE,
application/java-vm,FALSE,
application/vnd.crick.clicker.keyboard,FALSE,
application/vnd.crick.clicker.palette,FALSE,
application/vnd.crick.clicker.template,FALSE,
application/vnd.crick.clicker.wordbank,FALSE,
application/vnd.crick.clicker,FALSE,
application/x-msclip,FALSE,
application/vnd.cosmocaller,FALSE,
chemical/x-cmdf,FALSE,
chemical/x-cml,FALSE,
application/vnd.yellowriver-custom-menu,FALSE,
image/x-cmx,FALSE,
application/vnd.rim.cod,FALSE,
text/plain,FALSE,
application/vnd.debian.binary-package,FALSE,
text/markdown,FALSE,
application/wasm,FALSE,
application/x-cpio,FALSE,
application/mac-compactpro,FALSE,
application/x-mscardfile,FALSE,
application/pkix-crl,FALSE,
application/x-x509-ca-cert,FALSE,
application/x-csh,FALSE,
chemical/x-csml,FALSE,
application/vnd.commonspace,FALSE,
text/css,FALSE,
text/csv,FALSE,
application/cu-seeme,FALSE,
text/vnd.curl,FALSE,
application/prs.cww,FALSE,
application/vnd.mobius.daf,FALSE,
application/vnd.fdsn.seed,FALSE,
application/davmount+xml,FALSE,
text/vnd.curl.dcurl,FALSE,
application/vnd.oma.dd2+xml,FALSE,
application/vnd.fujixerox.ddd,FALSE,
application/x-debian-package,FALSE,
application/vnd.dreamfactory,FALSE,
application/vnd.mobius.dis,FALSE,
image/vnd.djvu,FALSE,
application/vnd.dna,FALSE,
application/msword,FALSE,
application/vnd.ms-word.document.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.wordprocessingml.document,FALSE,
application/vnd.ms-word.template.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.wordprocessingml.template,FALSE,
application/vnd.osgi.dp,FALSE,
application/vnd.dpgraph,FALSE,
text/prs.lines.tag,FALSE,
application/x-dtbook+xml,FALSE,
application/xml-dtd,FALSE,
audio/vnd.dts,FALSE,
audio/vnd.dts.hd,FALSE,
application/x-dvi,FALSE,
model/vnd.dwf,FALSE,
image/vnd.dwg,FALSE,
image/vnd.dxf,FALSE,
application/vnd.spotfire.dxp,FALSE,
audio/vnd.nuera.ecelp4800,FALSE,
audio/vnd.nuera.ecelp7470,FALSE,
audio/vnd.nuera.ecelp9600,FALSE,
application/ecmascript,FALSE,
application/vnd.novadigm.edm,FALSE,
application/vnd.novadigm.edx,FALSE,
application/vnd.picsel,FALSE,
application/vnd.pg.osasli,FALSE,
message/rfc822,FALSE,
application/emma+xml,FALSE,
audio/vnd.digital-winds,FALSE,
application/vnd.ms-fontobject,FALSE,
application/epub+zip,TRUE,archive/zip
application/vnd.eszigno3+xml,FALSE,
application/vnd.epson.esf,FALSE,
text/x-setext,FALSE,
application/vnd.novadigm.ext,FALSE,
application/andrew-inset,FALSE,
application/vnd.ezpix-album,FALSE,
application/vnd.ezpix-package,FALSE,
text/x-fortran,FALSE,
video/x-f4v,FALSE,
image/vnd.fastbidsheet,FALSE,
application/vnd.fdf,FALSE,
application/vnd.denovo.fcselayout-link,FALSE,
application/vnd.fujitsu.oasysgp,FALSE,
image/x-freehand,FALSE,
application/x-xfig,FALSE,
video/x-fli,FALSE,
application/vnd.micrografx.flo,FALSE,
video/x-flv,FALSE,
application/vnd.kde.kivio,FALSE,
text/vnd.fmi.flexstor,FALSE,
text/vnd.fly,FALSE,
application/vnd.frogans.fnc,FALSE,
image/vnd.fpx,FALSE,
application/vnd.fsc.weblaunch,FALSE,
image/vnd.fst,FALSE,
application/vnd.fluxtime.clip,FALSE,
application/vnd.anser-web-funds-transfer-initiation,FALSE,
video/vnd.fvt,FALSE,
application/vnd.fuzzysheet,FALSE,
image/g3fax,FALSE,
application/vnd.groove-account,FALSE,
model/vnd.gdl,FALSE,
application/vnd.dynageo,FALSE,
application/vnd.geometry-explorer,FALSE,
application/vnd.geogebra.file,FALSE,
application/vnd.geogebra.tool,FALSE,
application/vnd.groove-help,FALSE,
image/gif,TRUE,compress/lzw
application/vnd.groove-identity-message,FALSE,
application/vnd.gmx,FALSE,
application/x-gnumeric,FALSE,
application/vnd.flographit,FALSE,
application/vnd.grafeq,FALSE,
application/srgs,FALSE,
application/vnd.groove-injector,FALSE,
application/srgs+xml,FALSE,
application/x-font-ghostscript,FALSE,
application/x-gtar,FALSE,
application/vnd.groove-tool-message,FALSE,
model/vnd.gtw,FALSE,
text/vnd.graphviz,FALSE,
application/x-gzip,TRUE,archive/tar + compress/gzip
application/gzip,TRUE,archive/tar + compress/gzip
video/h261,FALSE,
gcode,FALSE,
video/h263,FALSE,
video/h264,FALSE,
application/vnd.hbci,FALSE,
application/vnd.gerber,FALSE,
application/x-hdf,FALSE,
application/winhlp,FALSE,
application/vnd.hp-hpgl,FALSE,
application/vnd.hp-hpid,FALSE,
application/vnd.hp-hps,FALSE,
application/mac-binhex40,FALSE,
application/vnd.kenameaapp,FALSE,
text/html,FALSE,
application/vnd.yamaha.hv-dic,FALSE,
application/vnd.yamaha.hv-voice,FALSE,
application/vnd.yamaha.hv-script,FALSE,
application/vnd.iccprofile,FALSE,
x-conference/x-cooltalk,FALSE,
image/x-icon,FALSE,
text/calendar,FALSE,
image/ief,FALSE,
application/vnd.shana.informed.formdata,FALSE,
model/iges,FALSE,
application/vnd.igloader,FALSE,
application/vnd.micrografx.igx,FALSE,
application/vnd.shana.informed.interchange,FALSE,
application/vnd.accpac.simply.imp,FALSE,
application/vnd.ms-ims,FALSE,
application/vnd.shana.informed.package,FALSE,
application/vnd.ibm.rights-management,FALSE,
application/vnd.irepository.package+xml,FALSE,
application/vnd.shana.informed.formtemplate,FALSE,
application/vnd.immervision-ivp,FALSE,
application/vnd.immervision-ivu,FALSE,
text/vnd.sun.j2me.app-descriptor,FALSE,
application/vnd.jam,FALSE,
application/java-archive,TRUE,archive/zip
text/x-java-source,FALSE,
application/vnd.jisp,FALSE,
application/vnd.hp-jlyt,FALSE,
application/x-java-jnlp-file,FALSE,
application/vnd.joost.joda-archive,FALSE,
image/jpeg,FALSE,
image/pjpeg,FALSE,
video/jpm,FALSE,
video/jpeg,FALSE,
application/x-trash,FALSE,
application/x-shellscript,FALSE,
text/javascript,FALSE,
application/json,FALSE,
audio/midi,FALSE,
audio/aiff,FALSE,
audio/opus,FALSE,
application/vnd.kde.karbon,FALSE,
application/vnd.kde.kformula,FALSE,
application/vnd.kidspiration,FALSE,
application/x-killustrator,FALSE,
application/vnd.google-earth.kml+xml,FALSE,
application/vnd.google-earth.kmz,TRUE,archive/zip
application/vnd.kinar,FALSE,
application/vnd.kde.kontour,FALSE,
application/vnd.kde.kpresenter,FALSE,
application/vnd.kde.kspread,FALSE,
application/vnd.kahootz,FALSE,
application/vnd.kde.kword,FALSE,
application/x-latex,FALSE,
application/vnd.llamagraphics.life-balance.desktop,FALSE,
application/vnd.llamagraphics.life-balance.exchange+xml,FALSE,
